,Top Level Entity,Tree Consistency Score
50,"['common matter', 'object', 'physical substance', 'result', 'spatio-temporal entity']",1.0
51,"['collective entity', 'continuant', 'nation at Games', 'object', 'result', 'source', 'spatio-temporal entity']",
52,['bus'],
54,"['collective entity', 'continuant', 'location', 'part', 'result', 'spatio-temporal entity']",
55,"['common matter', 'object', 'physical substance', 'result']",
56,['property'],
57,['object'],1.0
58,"['collective entity', 'continuant', 'location', 'observable entity', 'property', 'result', 'spatio-temporal entity']",
59,"['measured quantity value', 'object']",
5,"['collective entity', 'continuant', 'location', 'result', 'spatio-temporal entity']",0.75
60,"['collective entity', 'continuant', 'power']",0.0
62,"['collective entity', 'common matter', 'continuant', 'converter', 'object', 'physical substance', 'result', 'spatio-temporal entity']",
63,"['collective entity', 'continuant', 'multi-organism process', 'multicellular organismal process', 'object', 'observable entity', 'pattern', 'result', 'source', 'spatio-temporal entity']",
64,"['Formula One race', 'collective entity', 'continuant', 'object', 'observable entity', 'result', 'source', 'spatio-temporal entity']",1.0
65,"['common matter', 'continuant', 'converter', 'object', 'physical substance', 'result', 'source', 'spatio-temporal entity']",
69,"['continuant', 'location', 'object', 'spatio-temporal entity']",0.667
6,"['continuant', 'location', 'spatio-temporal entity']",0.714
71,"['collective entity', 'common matter', 'continuant', 'economic entity', 'object', 'physical substance', 'result', 'source']",
72,['result'],
73,"['collective entity', 'common matter', 'continuant', 'converter', 'object', 'part', 'physical substance', 'result', 'spatio-temporal entity']",
74,['language group'],
79,"['collective entity', 'continuant', 'economic entity', 'object', 'result', 'source', 'spatio-temporal entity']",
7,"['collective entity', 'continuant', 'object', 'observable entity', 'pattern', 'result', 'source', 'spatio-temporal entity']",
84,['player'],
85,"['collective entity', 'continuant', 'measured quantity value', 'object', 'observable entity', 'pattern', 'result', 'source', 'spatio-temporal entity']",
87,"['air carrier', 'collective entity', 'continuant', 'economic entity']",1.0
89,['network show'],
8,"['collective entity', 'continuant', 'spatio-temporal entity']",
94,"['collective entity', 'continuant', 'formalization', 'location', 'multiset', 'object', 'spatio-temporal entity']",
95,"['collective entity', 'continuant', 'culture', 'object', 'observable entity', 'result', 'source', 'spatio-temporal entity']",
97,"['collective entity', 'common matter', 'continuant', 'immaterial component', 'object', 'physical substance', 'result', 'software resource', 'source', 'spatio-temporal entity', 'technological component']",
99,['League'],
9,"['collective entity', 'continuant', 'object', 'result', 'source', 'spatio-temporal entity']",0.548
0,"['collective entity', 'common matter', 'continuant', 'location', 'object', 'observable entity', 'physical substance', 'result', 'source', 'spatio-temporal entity']",
10,"['collective entity', 'continuant', 'object', 'result']",1.000
